tweet_id,content,class
1829229255496278478,"If you are not lying , then only these 10k will be taxed . But we all know you lie , a lot . Bernie Sanders used to hate on Millionaires , until he became one , now he yells at Billionaires . See how that works . https://t.co/35rb2ysEzG",NEGATIVE
1829229255106146639,"I 100 % would not have let her back in my class . Talk about neutering a teacher . Get your union involved . They undercut you , your credibility and your leadership in the classroom . Total BS . # FecklessAdministratorsAreTheProblem",NEGATIVE
1829229254586077625,"Teachers say they care about the kids and learning so why ca n't they tell the union , who works for them , to spend a little of the 1.5 billion that 's in the Teachers fund on books and supplies ? If just 10 % was put into a fund for kids it would fix the problem easily .",NEGATIVE
1829229254544109874,I am working class and you are a communist,NEGATIVE
1829229251721142705,Are you talking to the working class ?,NEGATIVE
1829229247464124749,"nothing from a business perspective and comparison with multi million pound football clubs … . but they claim to be like us etc working class , and it ’s supposed to be music for the people etc just stinks imho",NEGATIVE
1829229246310498640,RT : Also impressive that he went into traditionally VERY hostile territory — a union event in Boston — to pick up more working …,NEGATIVE
1829229242057667065,"1 Corinthians 15:58   Therefore , my dear brothers and sisters , stand firm . Let nothing move you . Always give yourselves fully to the work of the Lord , because you know that your labor in the Lord is not in vain .",NEGATIVE
1829229241021665519,I honestly always thought it was worth discussing alone that her sole tie to being middle class was working at McD 's for 8 - 12 weeks . Did n't seem like a gig that was worthy of being in an ad since it was a blip at best .,NEGATIVE
1829229240107327488,"So , outsourcing labor because you fucks defunded firefighting services is ... good ? Are we proud of endangering people we would n't be willing to extend services to if they wanted to live here ? Fuck all the way off . https://t.co/6flTrydwJH",NEGATIVE
1829229240052498493,FALSE . Corporations have all the “ exemptions ” where they pay practically nothing … So do millionaires and billionaires … They pay practically nothing because they have a gazillion “ write offs ” . As the middle class pays their normal 23 % yr after yr .. get your head out of your ass .,NEGATIVE
1829229239176180060,"Just a reminder to the # MAGAMOVEMENT that Kamala Harris is VICE PRESIDENT .   He work should be compared ONLY with that of Mike Pence , you fucking idiots . While you praise # trump I hope your taking account of his pleasure in seeing UNION WORKERS be fired by Elon  # VoteBlue",NEGATIVE
1829229238056100202,Same folks when millionaires and billionaires got their PPE loans forgiven : https://t.co/mIlxUa5pAK,NEGATIVE
1829229233996222786,Stop by and check out Labor Not in Vain ’s review of The Enchanting of Miss Elliot by # book & amp ; enter the # free # giveaway for an autographed copy of The Pursuit of Miss Parish ! # books # amreading  https://t.co/lXUzAdCOGq,NEGATIVE
1829229232641184080,RT : Kamala Harris ’ plan to raise taxes on billionaires is not radical .  What ’s radical is accepting a system where billionaires pa …,NEGATIVE
1829229227499008346,"The only thing I care about with a politician is what they say they support right now . Do you think FDR * liked unions * ? Yet he signed the NLRA , the most important t pro union legislation in IS history . They are all opportunists , push them your way .",NEGATIVE
1829229226328821888,Biden arrested the father of one at the state of the union,NEGATIVE
1829229221740417117,RT : Also impressive that he went into traditionally VERY hostile territory — a union event in Boston — to pick up more working …,NEGATIVE
1829229218808639778,JD Vance booed by firefighters union one day after they welcomed Walz : ‘ Sounds like we got some haters ’ https://t.co/UOXTMvkFbw via,NEGATIVE
1829229214874378315,"Oh so hiring is unfair to men?Lol . Labor intensive = pregnancy , nothing men do is more physically demanding than that . As for manual labor , those jobs are dying out because of mechanization .",NEGATIVE
1829229212567498818,"RT : If the American people strongly support a progressive economic agenda , why has n't it been implemented ?  The answer is si …",NEGATIVE
1829229210868822282,The IAFF never did a damn thing for me . I ’m not sure that union is worth the time . How dare you boob a military serviceman when he goes on stage when a lot of you were in the military you are pathetic I am very happy to speak about .,NEGATIVE
1829229209333706811,"RT : .@JDVance : "" A lot of Democrats call us populists like it 's something on an insult . But if being a populist means being on …",NEGATIVE
